,rank,name,price $,chg_24h,chg_7d,chg_30d,market_cap $,volume_24h $
0,1,Internet Computer,9.19211,-2.5%,+11.74%,+15.53%,"4,362,094,277","165,836,914"
1,2,Render,9.19211,-2.04%,+16.59%,+53.43%,"4,362,094,277","165,836,914"
2,3,Arweave,9.19211,-5.58%,+3.66%,-2.53%,"4,362,094,277","165,836,914"
3,4,Akash Network,9.19211,-6.66%,+25.8%,+58.57%,"4,362,094,277","165,836,914"
4,5,AIOZ Network,9.19211,-1.52%,+14.91%,+77.91%,"4,362,094,277","165,836,914"
5,6,MultiversX,9.19211,-5.55%,+3.49%,+13.71%,"4,362,094,277","165,836,914"
6,7,Mina,9.19211,-2.49%,+3.54%,+13.83%,"4,362,094,277","165,836,914"
7,8,Golem,9.19211,-6.1%,+6.21%,+6.03%,"4,362,094,277","165,836,914"
8,9,Ankr,9.19211,-5.03%,+11.03%,+20.34%,"4,362,094,277","165,836,914"
9,10,Ravencoin,9.19211,-4.09%,+12.56%,+25.51%,"4,362,094,277","165,836,914"
10,11,aelf,9.19211,-3.58%,+8.41%,+7.97%,"4,362,094,277","165,836,914"
11,12,io.net,9.19211,+3.89%,+9.71%,+30.37%,"4,362,094,277","165,836,914"
12,13,Flux,9.19211,-6.15%,-1.1%,+138.77%,"4,362,094,277","165,836,914"
13,14,Ontology,9.19211,-5.12%,+11.08%,+11.22%,"4,362,094,277","165,836,914"
14,15,Hivemapper,9.19211,-8.11%,-18.39%,+17.04%,"4,362,094,277","165,836,914"
15,16,Nosana,9.19211,-5.8%,-11.78%,+50.33%,"4,362,094,277","165,836,914"
16,17,Ontology Gas,9.19211,-3.78%,+10%,+9.36%,"4,362,094,277","165,836,914"
17,18,ArcBlock,9.19211,-4.4%,-4.73%,-15.38%,"4,362,094,277","165,836,914"
18,19,iExec RLC,9.19211,-2.05%,+3.09%,+5.28%,"4,362,094,277","165,836,914"
19,20,Cartesi,9.19211,-3.69%,+11.29%,+13.94%,"4,362,094,277","165,836,914"
20,21,CUDOS,9.19211,-2.28%,-19.77%,-18.33%,"4,362,094,277","165,836,914"
21,22,ARPA Chain,9.19211,-2.68%,+6.27%,+6.61%,"4,362,094,277","165,836,914"
22,23,QuarkChain,9.19211,-4.26%,+5.92%,+8.77%,"4,362,094,277","165,836,914"
23,24,NetMind Token,9.19211,-13.24%,-25.72%,,"4,362,094,277","165,836,914"
24,25,Shadow Token,9.19211,-7.63%,+14.73%,-5.25%,"4,362,094,277","165,836,914"
25,26,GEODNET,9.19211,-4.23%,+8.32%,,"4,362,094,277","165,836,914"
26,27,PlatON,9.19211,-4.67%,+1.66%,-10.39%,"4,362,094,277","165,836,914"
27,28,GamerCoin,9.19211,-1.17%,+0.05%,-18.5%,"4,362,094,277","165,836,914"
28,29,Dimitra,9.19211,+0.49%,-10.18%,-0.25%,"4,362,094,277","165,836,914"
29,30,Aleph.im,9.19211,-1%,-8.91%,-42.08%,"4,362,094,277","165,836,914"
30,31,Dynex,9.19211,-3.69%,+1.64%,-23.31%,"4,362,094,277","165,836,914"
31,32,StorX Network,9.19211,-0.11%,+7.47%,+18.25%,"4,362,094,277","165,836,914"
32,33,OORT,9.19211,-8.49%,-5.58%,-23.9%,"4,362,094,277","165,836,914"
33,34,Fluence,9.19211,-2.3%,-6.61%,,"4,362,094,277","165,836,914"
34,35,Phantasma,9.19211,-2.25%,+52.08%,,"4,362,094,277","165,836,914"
35,36,Helium IOT,9.19211,-4.05%,-3.35%,,"4,362,094,277","165,836,914"
36,37,Quantum Resistant Ledger,9.19211,-2.8%,-0.09%,-3.95%,"4,362,094,277","165,836,914"
37,38,Atlas Navi,9.19211,-7%,-0.05%,+24.29%,"4,362,094,277","165,836,914"
38,39,NuNet,9.19211,+8.79%,+19.07%,+24.04%,"4,362,094,277","165,836,914"
39,40,Cellframe,9.19211,+4.15%,+3.75%,-24.63%,"4,362,094,277","165,836,914"
40,41,OpenGPU,9.19211,+14.24%,+14.02%,,"4,362,094,277","165,836,914"
41,42,DeepBrain Chain,9.19211,+17.98%,+35.73%,+9.18%,"4,362,094,277","165,836,914"
42,43,Nuco.cloud,9.19211,+7.07%,+20.46%,-0.8%,"4,362,094,277","165,836,914"
43,44,Nodle,9.19211,-1.44%,+9.48%,,"4,362,094,277","165,836,914"
44,45,NATIX Network,9.19211,-0.73%,-18.17%,,"4,362,094,277","165,836,914"
45,46,Deeper Network,9.19211,+6.97%,+18.52%,+14.31%,"4,362,094,277","165,836,914"
46,47,Zenon,9.19211,-10.08%,-9.95%,+20.15%,"4,362,094,277","165,836,914"
47,48,MultiVAC,9.19211,+0.64%,-1.92%,+43.64%,"4,362,094,277","165,836,914"
48,49,DxChain Token,9.19211,-16.17%,+10.34%,-10.42%,"4,362,094,277","165,836,914"
49,50,Edge Matrix Computing,9.19211,-18.9%,-39.8%,-10.39%,"4,362,094,277","165,836,914"
50,51,BonusCloud,9.19211,+0.03%,+0.06%,,"4,362,094,277","165,836,914"
51,52,Snetwork,9.19211,-5.25%,-29.09%,-4.76%,"4,362,094,277","165,836,914"
52,53,disBalancer,9.19211,+0.04%,+0.09%,+23.48%,"4,362,094,277","165,836,914"
53,54,Internxt,9.19211,-12.35%,+48.43%,-25.85%,"4,362,094,277","165,836,914"
54,55,Substratum,9.19211,+50%,+49.71%,+10.83%,"4,362,094,277","165,836,914"
55,56,Coldstack,9.19211,+1.17%,+8.6%,+2.79%,"4,362,094,277","165,836,914"
56,57,OST,9.19211,-7.27%,+13.11%,-0.28%,"4,362,094,277","165,836,914"
57,58,SONM,9.19211,-2.97%,-93.38%,+1011.25%,"4,362,094,277","165,836,914"
58,59,Transcodium,9.19211,-1.46%,+18.47%,,"4,362,094,277","165,836,914"
59,60,OpSec,9.19211,-35.48%,+43.2%,,"4,362,094,277","165,836,914"
60,61,ProximaX,9.19211,-0.88%,-7.87%,+0.54%,"4,362,094,277","165,836,914"
61,62,Temtum,9.19211,-18.64%,-20.15%,,"4,362,094,277","165,836,914"
